host,target
2833694,2833691
3051376,3044827
727748,727848
3719076,3719066
857419,814996
1222486,728004
728005,728008
727518,727517
1222583,1222689
820062,989276
727605,727608
3719044,3719042
728575,728572
2737002,727028
3567687,3567688
820061,820195
3687879,3687915
727028,727273
3324709,3324708
726789,726788
728478,728465
684022,684814
3051393,3044827
3622271,727626
1392072,1392077
1908447,921386
1222060,2389657
3494497,3494500
864018,820053
1263568,856413
3162864,680865
1222689,1222696
1222384,1222266
727619,727616
820347,989293
782305,873025
684018,684019
3055668,3056537
820444,820370
1221845,1219069
820204,820272
3055598,3055070
1222803,1222802
3052535,3052976
727269,727266
1908995,727505
820496,820565
3052947,811287
1553072,3052984
341290,3731891
725286,725287
868492,873881
1222168,1222062
1255193,728238
1222053,3161946
3718598,3719021
1221951,1221840
388382,388385
3044894,3051439
820636,989303
1511301,681661
641483,618387
1222583,728489
726916,726915
1221844,2389485
3564064,3564061
2526196,725284
820274,820357
682452,681675
720199,720419
728244,728247
1222054,3161942
730132,730131
1222598,1222595
820125,989280
682780,682559
2535630,2535631
3044911,3051455
3055579,3056449
3719020,3719043
388383,921407
727049,727293
1222380,1222273
683251,683240
727382,727385
730158,921401
3044877,3044873
1225399,820430
2594502,2471466
680089,679300
1222427,1222321
820200,820277
3719018,683597
1221849,1218998
2840050,2840049
726670,984722
1222800,1856853
2833695,726566
819981,818446
727379,727376
2608386,680864
2421245,850117
2736963,696234
1296262,1296266
1392085,1392129
3057077,3057078
1221838,1221947
725294,984721
1222954,1221842
3047973,3047972
2737112,795333
3568782,696429
3494499,3494483
1511283,726816
3056450,3056449
1295061,679304
3719018,3719042
818441,819982
680873,984761
1909152,727987
1222712,1222701
3051375,3044827
3056461,3055587
2737071,727606
1907908,1907985
3719064,989305
1907831,1907827
1248714,3687872
1218982,3161933
1218979,1218987
826224,820050
1222595,1222587
730149,730152
728234,728235
1222148,1222109
1392074,2983530
3494483,3494481
1221853,3567685
2568972,727038
1248712,3687830
1222109,826226
728329,728084
3056449,3056470
3056455,3056454
1021039,590178
727505,727506
3051420,3051388
1115291,730149
684811,685593
3325620,727128
1248712,1248198
2617214,2617216
682448,988608
3057120,3057121
1422045,1856826
727049,726813
1248716,820195
3687834,3687830
686280,686259
3622259,725294
392641,696249
727273,727028
